JAN,出荷数,発送先氏名,郵便番号,都道府県,市区町村,地番,建物名,電話番号,order_number,商品名,キットコード,契約番号,発送回,発送予定日
4570000000017,1,山田 太郎,150-0001,東京都,渋谷区神宮前1-1-1,,ウェルフォートビル101,09012345678,SUB-2026-0001,遺伝子検査キット,KIT_GENE,SUB-2026-0001,1,2026-08-11
4570000000024,1,山田 太郎,150-0001,東京都,渋谷区神宮前1-1-1,,ウェルフォートビル101,09012345678,SUB-2026-0001,がんリスク検査キット,KIT_CANCER,SUB-2026-0001,1,2026-08-11
4570000000031,1,山田 太郎,150-0001,東京都,渋谷区神宮前1-1-1,,ウェルフォートビル101,09012345678,SUB-2026-0001,血液検査キット,KIT_BLOOD,SUB-2026-0001,1,2026-08-11
4570000000024,1,山田 太郎,150-0001,東京都,渋谷区神宮前1-1-1,,ウェルフォートビル101,09012345678,SUB-2026-0001-R2,がんリスク検査キット,KIT_CANCER,SUB-2026-0001,2,2026-12-11
4570000000031,1,山田 太郎,150-0001,東京都,渋谷区神宮前1-1-1,,ウェルフォートビル101,09012345678,SUB-2026-0001-R2,血液検査キット,KIT_BLOOD,SUB-2026-0001,2,2026-12-11
4570000000017,1,鈴木 花子,530-0001,大阪府,大阪市北区梅田2-2-2,,梅田タワー2002,08098765432,SUB-2026-0002,遺伝子検査キット,KIT_GENE,SUB-2026-0002,1,2026-08-11
4570000000024,1,鈴木 花子,530-0001,大阪府,大阪市北区梅田2-2-2,,梅田タワー2002,08098765432,SUB-2026-0002,がんリスク検査キット,KIT_CANCER,SUB-2026-0002,1,2026-08-11
4570000000031,1,鈴木 花子,530-0001,大阪府,大阪市北区梅田2-2-2,,梅田タワー2002,08098765432,SUB-2026-0002,血液検査キット,KIT_BLOOD,SUB-2026-0002,1,2026-08-11
4570000000017,1,佐藤 次郎,460-0008,愛知県,名古屋市中区栄3-3-3,,栄プラザ303,07011112222,SUB-2026-0003,遺伝子検査キット,KIT_GENE,SUB-2026-0003,1,2026-08-11
4570000000024,1,佐藤 次郎,460-0008,愛知県,名古屋市中区栄3-3-3,,栄プラザ303,07011112222,SUB-2026-0003,がんリスク検査キット,KIT_CANCER,SUB-2026-0003,1,2026-08-11
4570000000024,1,田中 三郎,810-0001,福岡県,福岡市中央区天神4-4-4,,天神ビル404,08033334444,SUB-2026-0004,がんリスク検査キット,KIT_CANCER,SUB-2026-0004,1,2026-08-11
